temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.25,Si_H_rich_F1,surface,0.0,0.0
325.0,0.25,Si_H_rich_F2,surface,0.0,0.0
325.0,0.25,Si_H_rich_F3,surface,0.0,0.0
325.0,0.25,Si_H_rich_residual,surface,0.0,0.0
325.0,0.25,Si_H_rich_F0_HF,surface,4.890625,0.004890625
325.0,0.25,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.25,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.25,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.25,bridge_N_F0,surface,132.953125,0.132953125
325.0,0.25,bridge_N_F1,surface,10.3515625,0.0103515625
325.0,0.25,bridge_N_F2,surface,0.1015625,0.0001015625
325.0,0.25,bridge_N_F3,surface,0.0,0.0
325.0,0.25,bridge_N_residual,surface,0.0,0.0
325.0,0.25,bridge_N_F0_HF,surface,6.15625,0.00615625
325.0,0.25,bridge_N_F1_HF,surface,0.421875,0.000421875
325.0,0.25,bridge_N_F2_HF,surface,0.015625,1.5625e-05
325.0,0.25,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.25,pre_SiH2F,surface,94.8125,0.0948125
325.0,0.25,pre_SiH2F_HF,surface,4.8828125,0.0048828125
325.0,0.25,pre_SiH2F_residual,surface,0.3046875,0.0003046875
325.0,0.25,pre_SiHF2,surface,95.328125,0.095328125
325.0,0.25,pre_SiHF2_HF,surface,4.671875,0.004671875
325.0,0.25,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.25,Si_Si_F1,surface,94.40625,0.09440625
325.0,0.25,Si_Si_F1_HF,surface,4.8828125,0.0048828125
325.0,0.25,Si_Si_cleaved_F2_H,surface,0.7109375,0.0007109375
325.0,0.25,HF,reservoir_net,-391.3671875,-0.3913671875
325.0,0.25,H2,gas_product,0.0,0.0
325.0,0.25,NH3,gas_product,122.953125,0.122953125
325.0,0.25,SiF4,gas_product,0.0078125,7.8125e-06
325.0,0.25,SiH2F2,gas_product,0.3046875,0.0003046875
325.0,0.25,SiHF3,gas_product,0.0,0.0
325.0,0.30000000000000004,bridge_NH_F0,surface,66.59375,0.06659375
325.0,0.30000000000000004,bridge_NH_F1,surface,221.03125,0.22103125
325.0,0.30000000000000004,bridge_NH_F2,surface,1.0390625,0.0010390625
325.0,0.30000000000000004,bridge_NH_F3,surface,0.0,0.0
325.0,0.30000000000000004,bridge_NH_residual,surface,0.0078125,7.8125e-06
325.0,0.30000000000000004,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.30000000000000004,bridge_NH_F1_HF,surface,11.3203125,0.0113203125
325.0,0.30000000000000004,bridge_NH_F2_HF,surface,0.0078125,7.8125e-06
325.0,0.30000000000000004,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.30000000000000004,terminal_NH2_F0,surface,32.890625,0.032890625
325.0,0.30000000000000004,terminal_NH2_F1,surface,93.390625,0.093390625
325.0,0.30000000000000004,terminal_NH2_F2,surface,19.1796875,0.0191796875
325.0,0.30000000000000004,terminal_NH2_F3,surface,0.0,0.0
325.0,0.30000000000000004,terminal_NH2_residual,surface,0.0,0.0
325.0,0.30000000000000004,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.30000000000000004,terminal_NH2_F1_HF,surface,3.53125,0.00353125
325.0,0.30000000000000004,terminal_NH2_F2_HF,surface,1.0078125,0.0010078125
325.0,0.30000000000000004,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_F0,surface,95.1328125,0.0951328125
325.0,0.30000000000000004,Si_H_rich_F1,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_F2,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_F3,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_residual,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_F0_HF,surface,4.8671875,0.0048671875
325.0,0.30000000000000004,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.30000000000000004,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.30000000000000004,bridge_N_F0,surface,131.296875,0.131296875
325.0,0.30000000000000004,bridge_N_F1,surface,12.28125,0.01228125
325.0,0.30000000000000004,bridge_N_F2,surface,0.1875,0.0001875
325.0,0.30000000000000004,bridge_N_F3,surface,0.0,0.0
325.0,0.30000000000000004,bridge_N_residual,surface,0.0,0.0
325.0,0.30000000000000004,bridge_N_F0_HF,surface,5.7421875,0.0057421875
325.0,0.30000000000000004,bridge_N_F1_HF,surface,0.4921875,0.0004921875
325.0,0.30000000000000004,bridge_N_F2_HF,surface,0.0,0.0
325.0,0.30000000000000004,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.30000000000000004,pre_SiH2F,surface,94.9765625,0.0949765625
325.0,0.30000000000000004,pre_SiH2F_HF,surface,4.640625,0.004640625
325.0,0.30000000000000004,pre_SiH2F_residual,surface,0.3828125,0.0003828125
325.0,0.30000000000000004,pre_SiHF2,surface,95.359375,0.095359375
325.0,0.30000000000000004,pre_SiHF2_HF,surface,4.640625,0.004640625
325.0,0.30000000000000004,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.30000000000000004,Si_Si_F1,surface,94.5625,0.0945625
325.0,0.30000000000000004,Si_Si_F1_HF,surface,4.5703125,0.0045703125
325.0,0.30000000000000004,Si_Si_cleaved_F2_H,surface,0.8671875,0.0008671875
325.0,0.30000000000000004,HF,reservoir_net,-426.9921875,-0.4269921875
325.0,0.30000000000000004,H2,gas_product,0.0,0.0
325.0,0.30000000000000004,NH3,gas_product,137.296875,0.137296875
325.0,0.30000000000000004,SiF4,gas_product,0.0078125,7.8125e-06
325.0,0.30000000000000004,SiH2F2,gas_product,0.3828125,0.0003828125
325.0,0.30000000000000004,SiHF3,gas_product,0.0,0.0
325.0,0.35000000000000003,bridge_NH_F0,surface,51.3203125,0.0513203125
325.0,0.35000000000000003,bridge_NH_F1,surface,235.0546875,0.2350546875
325.0,0.35000000000000003,bridge_NH_F2,surface,1.3671875,0.0013671875
325.0,0.35000000000000003,bridge_NH_F3,surface,0.0078125,7.8125e-06
325.0,0.35000000000000003,bridge_NH_residual,surface,0.0078125,7.8125e-06
325.0,0.35000000000000003,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.35000000000000003,bridge_NH_F1_HF,surface,12.1875,0.0121875
325.0,0.35000000000000003,bridge_NH_F2_HF,surface,0.0546875,5.46875e-05
325.0,0.35000000000000003,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.35000000000000003,terminal_NH2_F0,surface,25.1640625,0.0251640625
325.0,0.35000000000000003,terminal_NH2_F1,surface,95.8046875,0.0958046875
325.0,0.35000000000000003,terminal_NH2_F2,surface,24.3671875,0.0243671875
325.0,0.35000000000000003,terminal_NH2_F3,surface,0.0,0.0
325.0,0.35000000000000003,terminal_NH2_residual,surface,0.0,0.0
325.0,0.35000000000000003,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.35000000000000003,terminal_NH2_F1_HF,surface,3.6796875,0.0036796875
325.0,0.35000000000000003,terminal_NH2_F2_HF,surface,0.984375,0.000984375
